Date,Open,High,Low,Close,Volume
06/01/2001,69.60,70.70,68.70,70.34,28793800
06/04/2001,70.55,71.02,69.80,70.78,21868300
06/05/2001,70.76,73.08,70.50,72.60,44727100
06/06/2001,72.89,73.48,71.55,72.36,40011400
06/07/2001,72.12,73.73,72.08,73.68,33480000
06/08/2001,73.70,73.75,72.05,73.19,25933500
06/11/2001,72.85,72.85,71.51,72.12,23672800
06/12/2001,71.02,72.41,70.81,72.08,33357300
06/13/2001,72.05,72.30,70.64,70.69,27651200
06/14/2001,70.22,70.55,68.40,68.90,35986200
06/15/2001,67.51,68.30,66.40,68.02,54177200
06/18/2001,67.95,67.96,66.01,66.88,28423400
06/19/2001,68.21,68.85,66.85,67.32,31728700
06/20/2001,67.14,69.59,67.10,69.41,32054200
06/21/2001,69.15,70.55,68.92,69.84,34801900
06/22/2001,70.00,70.61,68.58,68.83,25546000
06/25/2001,69.10,69.81,67.77,68.85,24607800
06/26/2001,67.82,70.21,67.70,70.14,31538500
06/27/2001,69.86,71.53,69.36,71.14,34599900
06/28/2001,71.55,76.15,70.53,72.74,64487800
06/29/2001,72.60,73.41,71.40,73.00,47141900
07/02/2001,72.05,73.15,70.15,70.60,36405100
07/03/2001,70.30,70.80,69.93,70.47,14018700
07/05/2001,70.22,70.72,68.44,68.51,24621300
07/06/2001,68.30,68.40,65.67,66.06,33733900
07/09/2001,66.20,66.91,65.04,65.69,33238300
07/10/2001,65.90,66.25,64.35,64.48,33281300
07/11/2001,64.21,66.75,64.20,66.50,36911300
07/12/2001,70.70,72.05,70.33,71.60,64039000
07/13/2001,71.40,72.00,70.94,71.34,29467300
07/16/2001,71.45,72.16,70.15,71.18,27995400
07/17/2001,70.66,72.01,70.14,71.82,31620500
07/18/2001,70.60,71.50,69.87,70.57,28795400
07/19/2001,71.22,73.00,71.22,72.57,38274700
07/20/2001,68.03,69.40,67.94,69.18,62101800
07/23/2001,69.24,69.24,66.35,67.09,39999700
07/24/2001,67.00,67.99,65.70,66.32,33765100
07/25/2001,66.26,67.52,65.61,67.48,37032700
07/26/2001,67.12,67.32,65.50,66.59,38987000
07/27/2001,66.05,66.25,65.05,65.47,32698000
07/30/2001,65.65,66.88,65.54,65.80,21098200
07/31/2001,66.01,67.39,65.85,66.19,29515800
08/01/2001,66.80,66.81,65.76,66.47,27839500
08/02/2001,67.21,67.54,66.26,67.45,27099200
08/03/2001,67.30,67.36,66.00,66.89,21630200
08/06/2001,66.53,67.12,65.68,66.13,13915800
08/07/2001,66.04,67.05,65.99,66.35,15673900
08/08/2001,66.51,67.24,64.49,64.86,27498200
08/09/2001,64.98,65.55,64.30,65.01,22768100
08/10/2001,64.77,65.86,62.90,65.52,25878200
08/13/2001,65.24,65.99,64.75,65.83,16337700
08/14/2001,65.75,66.09,64.45,64.69,18240600
08/15/2001,64.71,65.05,63.20,63.20,19751500
08/16/2001,62.84,64.71,62.70,64.62,21952800
08/17/2001,63.78,64.13,61.50,61.88,26117100
08/20/2001,61.66,62.75,61.10,62.70,24185600
08/21/2001,62.70,63.20,60.71,60.78,23555900
08/22/2001,61.13,61.15,59.08,60.66,39053600
08/23/2001,60.67,61.53,59.00,59.12,25906600
08/24/2001,59.60,62.28,59.23,62.05,31699500
08/27/2001,61.90,63.36,61.57,62.31,22281400
08/28/2001,62.34,62.95,60.58,60.74,23711400
08/29/2001,61.05,61.30,59.54,60.25,24085000
08/30/2001,59.04,59.66,56.52,56.94,48816000
08/31/2001,56.85,58.06,56.30,57.05,28950400
09/04/2001,57.19,59.08,56.07,56.10,33594600
09/05/2001,56.18,58.39,55.39,57.74,44735300
09/06/2001,56.56,58.39,55.90,56.02,56178400
09/07/2001,56.11,57.36,55.31,55.40,44931900
09/10/2001,54.92,57.95,54.70,57.58,42235900
09/17/2001,54.02,55.10,52.80,52.91,63751000
09/18/2001,53.41,55.00,53.17,54.32,41591300
09/19/2001,54.46,54.70,50.60,53.87,63475100
09/20/2001,52.35,52.61,50.67,50.76,58991600
09/21/2001,47.92,50.60,47.50,49.71,92488300
09/24/2001,50.65,52.45,49.87,52.01,42790100
09/25/2001,52.27,53.00,50.16,51.30,42470300
09/26/2001,51.51,51.80,49.55,50.27,29262200
09/27/2001,50.10,50.68,48.00,49.96,40595600
09/28/2001,49.62,51.59,48.98,51.17,58320600
10/01/2001,50.94,52.50,50.41,51.79,34999800
10/02/2001,51.63,53.55,51.56,53.05,40430400
10/03/2001,52.48,56.93,52.40,56.23,48599600
10/04/2001,56.92,58.40,56.21,56.44,50889000
10/05/2001,56.16,58.00,54.94,57.72,40422200
10/08/2001,56.80,58.65,56.74,58.04,30302900
10/09/2001,57.50,57.57,54.19,54.56,49738800
10/10/2001,53.60,55.75,53.00,55.51,43174600
10/11/2001,55.76,56.84,54.59,56.32,41871300
10/12/2001,55.70,56.64,54.55,56.38,31653500
10/15/2001,55.90,58.50,55.85,58.06,34218500
10/16/2001,57.87,58.91,57.21,58.45,33084500
10/17/2001,59.12,59.30,55.98,56.03,36855300
10/18/2001,56.34,57.58,55.50,56.75,39174000
10/19/2001,57.40,58.01,55.63,57.90,45609800
10/22/2001,57.90,60.18,57.47,60.16,36161800
10/23/2001,60.47,61.44,59.40,60.43,40162500
10/24/2001,60.50,61.62,59.62,61.32,39570700
10/25/2001,60.61,62.60,59.57,62.56,37659100
10/26/2001,62.32,63.63,62.08,62.20,32254700
10/29/2001,62.10,62.20,59.54,59.64,27564700
10/30/2001,58.92,59.54,58.19,58.88,28697800
10/31/2001,59.30,60.73,58.10,58.15,32350000
11/01/2001,60.08,62.25,59.60,61.84,54835600
11/02/2001,61.93,63.02,60.51,61.40,41680000
11/05/2001,61.86,64.03,61.75,63.27,33200800
11/06/2001,62.70,64.94,62.16,64.78,34306000
11/07/2001,64.22,65.05,64.03,64.25,29449500
11/08/2001,64.46,66.06,63.66,64.42,37113900
11/09/2001,64.34,65.65,63.91,65.21,24006800
11/12/2001,64.70,66.44,63.65,65.79,28876400
11/13/2001,66.80,67.95,66.60,67.90,30079800
11/14/2001,68.23,68.34,65.79,65.95,44312800
11/15/2001,66.10,67.05,65.45,66.12,38961000
11/16/2001,66.36,66.61,64.95,65.75,29624500
11/19/2001,66.25,66.97,65.70,66.54,28002500
11/20/2001,66.45,67.80,65.03,65.40,32960900
